image_id,split,valid,image_height,image_width,mask_height,mask_width,same_shape,foreground_fraction,connected_components,empty_mask,full_mask
cju0qkwl35piu0993l0dewei2,internal_val,True,529,622,529,622,True,0.28277281043526886,1,False,False
cju0qoxqj9q6s0835b43399p4,internal_train,True,1070,1348,1070,1348,True,0.27059471976482985,1,False,False
cju0qx73cjw570799j4n5cjze,internal_train,True,529,619,529,619,True,0.3188263282139923,1,False,False
cju0roawvklrq0799vmjorwfv,internal_train,True,528,622,528,622,True,0.10849654097242521,3,False,False
cju0rx1idathl0835detmsp84,internal_train,True,528,617,528,617,True,0.07276779136584648,1,False,False
cju0s2a9ekvms080138tjjpxr,internal_val,True,547,626,547,626,True,0.20712162185840863,2,False,False
cju0s690hkp960855tjuaqvv0,official_test,True,530,621,530,621,True,0.0366238264515541,1,False,False
cju0sr5ghl0nd08789uzf1raf,official_test,True,1019,1214,1019,1214,True,0.13352965807806536,2,False,False
cju0sxqiclckk08551ycbwhno,official_test,True,531,570,531,570,True,0.043506128787127896,1,False,False
cju0t4oil7vzk099370nun5h9,official_test,True,530,622,530,622,True,0.33988958320694046,1,False,False
cju0tl3uz8blh0993wxvn7ly3,official_test,True,529,622,529,622,True,0.00527294719758812,1,False,False
cju0u2g7pmnux0801vkk47ivj,official_test,True,530,611,530,611,True,0.29237871722817527,2,False,False
cju0u82z3cuma0835wlxrnrjv,official_test,True,546,626,546,626,True,0.24693091785743543,1,False,False
cju0ue769mxii08019zqgdbxn,official_test,True,547,626,547,626,True,0.04773933917797338,1,False,False
cju0vtox5ain6099360pu62rp,official_test,True,531,622,531,622,True,0.04454678123542912,1,False,False
cju13cgqmnhwn0988yrainhcp,official_test,True,546,626,546,626,True,0.12427880958232396,1,False,False
cju13fwthn9mq0835gacxgy01,official_test,True,529,623,529,623,True,0.1384634990760604,1,False,False
cju13hp5rnbjx0835bf0jowgx,official_test,True,531,622,531,622,True,0.10654228810531606,1,False,False
cju14g8o4xui30878gkgbrvqj,official_test,True,531,622,531,622,True,0.02580219327726004,1,False,False
cju14hjh2ob2o0835ouz3r5aa,official_test,True,546,609,546,609,True,0.1254744161148102,1,False,False
