method,seed_a,seed_b,dice_correlation
resunet_paper,42,43,0.7915156483978932
resunet_paper,42,44,0.7746203254198996
resunet_paper,43,44,0.8064907580719202
resunet_paper,mean,mean,0.7908755772965709
siglip2_frozen,42,43,0.9523697647142413
siglip2_frozen,42,44,0.9595422373801316
siglip2_frozen,43,44,0.9413198692580218
siglip2_frozen,mean,mean,0.9510772904507983
siglip2_partial,42,43,0.9388833250886613
siglip2_partial,42,44,0.8764958892774888
siglip2_partial,43,44,0.9115790098386304
siglip2_partial,mean,mean,0.9089860747349269
siglip2_full,42,43,0.8657864133514129
siglip2_full,42,44,0.9343036310364934
siglip2_full,43,44,0.9263180770244496
siglip2_full,mean,mean,0.9088027071374519
