image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
ck2bxw18mmz1k0725litqq2mc,0.5762025713920593,0.4046941995620727,0.9738502502441406,0.4091402590274811,0.9951609373092652,12811.0,344.0,18501.0,70744.0,0.2598757743835449,0.1493432372808456,0.9580703973770142,0.1503257602453231,0.9971022009849548,4707.0,206.0,26605.0,70882.0,-0.3163267970085144
cju7dubap2g0w0801fgl42mg9,0.6914198398590088,0.5283740758895874,0.9851598143577576,0.5326133370399475,0.9972801804542542,13808.0,208.0,12117.0,76267.0,0.4585539102554321,0.2974829375743866,0.9826362729072572,0.2990549802780151,0.9982085824012756,7753.0,137.0,18172.0,76338.0,-0.23286592960357672
cju8dqkrqu83i0818ev74qpxq,0.844533383846283,0.7309024930000305,0.9906317591667176,0.7359896302223206,0.9897189140319824,44941.0,425.0,16121.0,40913.0,0.7141357064247131,0.5553740859031677,0.9948517084121704,0.5569748878479004,0.9957424402236938,34010.0,176.0,27052.0,41162.0,-0.13039767742156982
cju0tl3uz8blh0993wxvn7ly3,0.3291904628276825,0.1970245242118835,0.2004909962415695,0.9193245768547058,0.9808181524276732,490.0,1954.0,43.0,99913.0,0.2354767173528671,0.1334506124258041,0.1335177272558212,0.99624764919281,0.9661715626716614,531.0,3446.0,2.0,98421.0,-0.0937137454748154
cju8clorgsuwn08714toqb7v6,0.9584540128707886,0.9202225208282472,0.9320928454399108,0.9863497018814088,0.9897828102111816,12573.0,916.0,174.0,88737.0,0.8877372145652771,0.7981362342834473,0.8458860516548157,0.9339452385902404,0.975806713104248,11905.0,2169.0,842.0,87484.0,-0.07071679830551147
cju884985nlmx0817vzpax3y4,0.8090178966522217,0.6792863607406616,0.7856064438819885,0.8338675498962402,0.9957623481750488,1561.0,426.0,311.0,100102.0,0.7449938654899597,0.5936177372932434,0.6032428741455078,0.9738247990608216,0.9880729913711548,1823.0,1199.0,49.0,99329.0,-0.06402403116226196
cju87zv8lni0o0850hbbecbq6,0.933783769607544,0.8757921457290649,0.9225634336471558,0.9452804327011108,0.9988507628440856,1382.0,116.0,80.0,100822.0,0.8804348111152649,0.7864077687263489,0.8265306353569031,0.9418604373931884,0.9971368312835692,1377.0,289.0,85.0,100649.0,-0.05334895849227905
cju33w4sdcivk0855x879zht7,0.9784740805625916,0.9578553438186646,0.9637435674667358,0.993661880493164,0.9969472289085388,7682.0,289.0,49.0,94380.0,0.9312445521354676,0.871335506439209,0.9651679396629332,0.8996248841285706,0.9973486661911012,6955.0,251.0,776.0,94418.0,-0.04722952842712391
cjyzu9th0qt4r0a46pyl4zik0,0.8500832915306091,0.7392563819885254,0.7994778156280518,0.9075281620025636,0.9839417934417723,6124.0,1536.0,624.0,94116.0,0.8041857481002808,0.6725005507469177,0.6966670155525208,0.9509484171867372,0.9707899689674376,6417.0,2794.0,331.0,92858.0,-0.04589754343032837
cjyzkpsbjdsjq07211dfi4sru,0.9594152569770812,0.921996295452118,0.9337326884269714,0.9865506291389464,0.9982277154922484,2494.0,177.0,34.0,99695.0,0.918056845664978,0.8485259413719177,0.8554834127426147,0.99050635099411,0.9957645535469056,2504.0,423.0,24.0,99449.0,-0.04135841131210316
