image_id,dice_a,iou_a,precision_a,recall_a,specificity_a,tp_a,fp_a,fn_a,tn_a,dice_b,iou_b,precision_b,recall_b,specificity_b,tp_b,fp_b,fn_b,tn_b,dice_difference_b_minus_a
cju87xn2snfmv0987sc3d9xnq,0.8875853419303894,0.7978907227516174,0.9313489198684692,0.8477500677108765,0.987677276134491,14299.0,1054.0,2568.0,84479.0,0.5850512385368347,0.4134787619113922,0.4357277750968933,0.8900812268257141,0.7726958990097046,15013.0,19442.0,1854.0,66091.0,-0.3025341033935547
cju32zhbnc1oy0801iyv1ix6p,0.822970986366272,0.6991934180259705,0.703294575214386,0.9917288422584534,0.8585466742515564,25659.0,10825.0,214.0,65702.0,0.5561373829841614,0.3851733207702636,0.3887034952640533,0.9769644141197203,0.4805493354797363,25277.0,39752.0,596.0,36775.0,-0.2668336033821106
cju7dubap2g0w0801fgl42mg9,0.6914198398590088,0.5283740758895874,0.9851598143577576,0.5326133370399475,0.9972801804542542,13808.0,208.0,12117.0,76267.0,0.431850403547287,0.2753885090351105,0.9901797771453856,0.2761427164077759,0.9990715980529784,7159.0,71.0,18766.0,76404.0,-0.2595694363117218
ck2bxw18mmz1k0725litqq2mc,0.5762025713920593,0.4046941995620727,0.9738502502441406,0.4091402590274811,0.9951609373092652,12811.0,344.0,18501.0,70744.0,0.3521861135959625,0.2137292921543121,0.979740560054779,0.2146780788898468,0.9980446696281432,6722.0,139.0,24590.0,70949.0,-0.2240164577960968
cju32qr9tbvsj08013pkpjenq,0.6029599905014038,0.4315982162952423,0.438130646944046,0.9666081070899964,0.911438524723053,6600.0,8464.0,228.0,87108.0,0.489672988653183,0.3242165148258209,0.3242165148258209,1.0,0.8510860800743103,6828.0,14232.0,0.0,81340.0,-0.11328700184822083
ck2bxlujamu330725szlc2jdu,0.9236986041069032,0.8582155704498291,0.8606866002082825,0.9966658353805542,0.9936142563819884,3886.0,629.0,13.0,97872.0,0.8329365849494934,0.713702917098999,0.9173349738121032,0.7627596855163574,0.9972792267799376,2974.0,268.0,925.0,98233.0,-0.09076201915740978
cju87kbcen2av0987usezo8kn,0.3317969143390655,0.1988947987556457,0.2121739834547042,0.7606468200683594,0.8165339231491089,4751.0,17641.0,1495.0,78513.0,0.2882907092571258,0.1684226989746093,0.1731742769479751,0.8599103689193726,0.7333028316497803,5371.0,25644.0,875.0,70510.0,-0.0435062050819397
cjyzkpsbjdsjq07211dfi4sru,0.9594152569770812,0.921996295452118,0.9337326884269714,0.9865506291389464,0.9982277154922484,2494.0,177.0,34.0,99695.0,0.9236430525779724,0.8581196665763855,0.8634330630302429,0.9928797483444214,0.9960249066352844,2510.0,397.0,18.0,99475.0,-0.035772204399108776
cju16b6ynq8e40988m8vx0xnj,0.960943639278412,0.9248234033584596,0.9487577676773072,0.9734466075897216,0.9990150928497314,1833.0,99.0,50.0,100418.0,0.935883641242981,0.8794936537742615,0.9496992826461792,0.92246413230896,0.9990847110748292,1737.0,92.0,146.0,100425.0,-0.02505999803543102
cju7dxffn2eam0817qxosfwch,0.6225979924201965,0.4520089328289032,0.9937431216239928,0.4532990157604217,0.9993966817855836,8100.0,51.0,9769.0,84480.0,0.6028316020965576,0.4314666986465454,0.9945945739746094,0.4324808418750763,0.9995031356811525,7728.0,42.0,10141.0,84489.0,-0.019766390323638916
cju8ceacrsqkr0755hdz145es,0.9776017665863036,0.9561849236488342,0.9712318778038024,0.9840558171272278,0.9988108277320862,3950.0,117.0,64.0,98269.0,0.958101212978363,0.9195722937583924,0.93213951587677,0.985550582408905,0.9970727562904358,3956.0,288.0,58.0,98098.0,-0.019500553607940563
cju336l68y7if0993wf092166,0.935593843460083,0.8789820075035095,0.9942618012428284,0.8834636807441711,0.9985111951828004,20446.0,118.0,2697.0,79139.0,0.9203630089759828,0.8524745106697083,0.9912731051445008,0.8589206337928772,0.9977920055389404,19878.0,175.0,3265.0,79082.0,-0.01523083448410023
cju87zv8lni0o0850hbbecbq6,0.933783769607544,0.8757921457290649,0.9225634336471558,0.9452804327011108,0.9988507628440856,1382.0,116.0,80.0,100822.0,0.9194089770317078,0.8508390188217163,0.9030343294143676,0.9363884925842284,0.9985436797142028,1369.0,147.0,93.0,100791.0,-0.014374792575836182
cju0ue769mxii08019zqgdbxn,0.9561122059822084,0.91591477394104,0.9354901909828186,0.9776639342308044,0.996626317501068,4771.0,329.0,109.0,97191.0,0.9417937994003296,0.8899908065795898,0.8955830931663513,0.9930328130722046,0.9942063093185424,4846.0,565.0,34.0,96955.0,-0.014318406581878773
cju15czxqp3lv0835jvhgzurz,0.960315465927124,0.923660397529602,0.9717046618461608,0.9491901397705078,0.9896148443222046,26546.0,773.0,1421.0,73660.0,0.9479533433914183,0.9010563492774964,0.916113555431366,0.9820860028266908,0.966211199760437,27466.0,2515.0,501.0,71918.0,-0.012362122535705677
